date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-11-09,93.210837,93.309495,91.920671,92.292542,186621600,-0.00721,0.107165,71.6
2010-11-10,92.269769,92.709945,91.571562,92.664406,221387400,0.004021,0.106735,71.6
2010-11-11,91.867561,92.451929,91.586758,92.315323,158017600,-0.003774,0.107093,71.6
2010-11-12,91.692984,92.095212,90.805047,91.22245,239068800,-0.011909,0.114314,71.6
2010-11-15,91.510839,91.867533,91.055487,91.09343,163940800,-0.001415,0.111412,71.6
2010-11-16,90.531843,90.683625,89.241672,89.674263,299566200,-0.015702,0.108832,71.6
2010-11-17,89.712212,90.091673,89.44659,89.719803,172308900,0.000508,0.108813,71.6
2010-11-18,90.584962,91.366651,90.577371,91.040314,197723700,0.014611,0.115926,71.6
2010-11-19,90.994815,91.328737,90.501514,91.290794,156852900,0.002748,0.115269,71.6
2010-11-22,90.835421,91.252825,90.137208,91.214882,181361000,-0.000832,0.115399,71.6
2010-11-23,90.137218,90.326949,89.54526,89.894363,222309000,-0.014583,0.123685,71.6
2010-11-24,90.463528,91.245223,90.448352,91.22245,140046100,0.014666,0.128773,71.6
2010-11-26,90.433209,90.926504,90.159996,90.159996,76007800,-0.011715,0.133084,71.6
2010-11-29,89.932298,90.676044,89.355515,90.433189,223642300,0.003026,0.133221,71.6
2010-11-30,89.537697,90.440811,89.408676,89.924744,233930700,-0.005638,0.133631,71.6
2010-12-01,91.22245,92.01173,91.214865,91.837181,221037200,0.021044,0.140779,74.5
2010-12-02,91.981384,93.081825,91.92826,93.013519,191213600,0.012728,0.142619,74.5
2010-12-03,92.694785,93.370226,92.672018,93.263977,151288900,0.002689,0.142653,74.5
2010-12-06,93.066635,93.377796,92.967977,93.165298,103050500,-0.001059,0.142807,74.5
2010-12-07,94.060841,94.113966,93.165313,93.218437,206581000,0.00057,0.142723,74.5
2010-12-08,93.332286,93.63585,92.899701,93.559959,138019200,0.003657,0.142875,74.5
2010-12-09,94.083613,94.121556,93.461297,93.92424,123705100,0.003886,0.142521,74.5
2010-12-10,94.212613,94.561717,93.901458,94.47065,117571700,0.005801,0.143004,74.5
2010-12-13,94.903248,95.017082,94.501014,94.531372,133812700,0.000643,0.143011,74.5
2010-12-14,94.675576,95.039861,94.326472,94.614861,147249600,0.000883,0.142976,74.5
